candidate,protocol,held_value,role,attack_family,rows,sources,hard_recall,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,TCP Scan,15000,1,0.9946,0.9624355590155338,0.9973327769416206,episode,140,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Telnet Brute Force,15000,1,0.9181333333333334,0.9059154702910486,0.9305092901514286,episode,30,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,File Download,3,1,1.0,1.0,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Ingress Tool Transfer,3,1,0.6666666666666666,0.5,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin C&C Communication,5,1,0.8,0.4,1.0,episode,5,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin ICMP Flooding,8,2,1.0,1.0,1.0,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin TCP Flooding,11,2,1.0,1.0,1.0,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin UDP Flooding,6,2,0.8333333333333334,0.6666666666666666,1.0,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai C&C Communication,2,1,0.5,0.0,1.0,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai GRE Flooding,10,2,0.6,0.25,0.8333333333333334,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai TCP Flooding,10,2,1.0,1.0,1.0,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai UDP Flooding,11,2,0.7272727272727273,0.6,0.8333333333333334,source,2,0.0,27
M0,strict_leave,domotic-monitor,future_query,C&C Communication,3,1,1.0,1.0,1.0,episode,3,0.0,27
M0,strict_leave,domotic-monitor,future_query,File Download,39,1,1.0,1.0,1.0,episode,2,0.0,27
M0,strict_leave,domotic-monitor,future_query,Ingress Tool Transfer,120,1,1.0,1.0,1.0,episode,14,0.0,27
M0,strict_leave,domotic-monitor,future_query,Merlin ICMP Flooding,320,1,1.0,1.0,1.0,episode,2,0.0,27
M0,strict_leave,domotic-monitor,future_query,Merlin TCP Flooding,392,1,1.0,1.0,1.0,episode,4,0.0,27
M0,strict_leave,domotic-monitor,future_query,Merlin UDP Flooding,163,1,1.0,1.0,1.0,episode,2,0.0,27
M0,strict_leave,domotic-monitor,future_query,Mirai GRE Flooding,392,1,1.0,,,unavailable,1,0.0,27
M0,strict_leave,domotic-monitor,future_query,Mirai TCP Flooding,392,1,1.0,1.0,1.0,episode,2,0.0,27
M0,strict_leave,domotic-monitor,future_query,Mirai UDP Flooding,392,1,1.0,,,unavailable,1,0.0,27
