candidate,regime,feature_set,architecture,role,phase,source_group,device,rows,hard_alarm_rate,conflict_review_rate,attack_score_mean,hard_ood_score_mean
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.01166532582461786,0.042236524537409496,0.049355736172307964,0.00438499556298345
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9370700090403444,0.058501754439728486,0.9935887001521354,0.0031214606732644498
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.8851267048143527,0.04915458417588091,0.9298597447600429,0.007939510638129532
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.18805711130393626,0.0,0.16788586430701452,0.00019209001301373756
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.7297706755214278,0.012057694303206391,0.7321153747577892,0.0010244789258100166
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.9958899778691116,0.004110022130888397,0.99761214264718,0.00039059760818333026
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.0006107587502936341,0.01620859760394644,0.005101682146314743,0.9970522639986782
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.0019501485212449954,0.1062120625080718,0.009691910533143938,0.9897389078881628
C5_fewshot_multihead_raw_plus_evidence,fewshot_direct,raw_plus_evidence,multihead_attack_hardood_conflict,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.7125263387342876,0.21977403182445687,0.9048607479565673,0.08631839454774438
U1_devlabel_binary_raw_plus_temporal_mlp,dev_label_upper,raw_plus_temporal,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0001784280488892854,0.0,0.00044530655537119605,0.0
U1_devlabel_binary_raw_plus_temporal_mlp,dev_label_upper,raw_plus_temporal,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.00013377926421404682,0.0,0.0004717421175810804,0.0
U1_devlabel_binary_raw_plus_temporal_mlp,dev_label_upper,raw_plus_temporal,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.00019956096587507485,0.0,0.0004935927753702324,0.0
U1_devlabel_binary_raw_plus_temporal_mlp,dev_label_upper,raw_plus_temporal,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0,0.0,0.000514046705124836,0.0
