group,delta,c1_score_at_delta,L1_final_hard_rate,L1_veto_fire_rate,L1_newly_fired_rate,L2_final_hard_rate,L2_newly_fired_rate,n_rows,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate
support_val_69,-0.00016442953020134226,0.9979207703689387,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.0001543624161073825,0.9979308374830327,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00014429530201342275,0.9979409045971266,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.000134228187919463,0.9979509717112206,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00012416107382550335,0.9979610388253145,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00011409395973154359,0.9979711059394085,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.00010402684563758384,0.9979811730535024,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-9.395973154362408e-05,0.9979912401675964,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-8.389261744966433e-05,0.9980013072816903,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-7.382550335570468e-05,0.9980113743957844,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-6.375838926174493e-05,0.9980214415098783,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-5.3691275167785176e-05,0.9980315086239723,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-4.362416107382542e-05,0.9980415757380662,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-3.3557046979865775e-05,0.9980516428521602,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-2.348993288590602e-05,0.9980617099662541,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-1.3422818791946267e-05,0.9980717770803481,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-3.355704697986621e-06,0.998081844194442,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,0.0,0.99808519989914,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,6.711409395973242e-06,0.998091911308536,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,1.6778523489932888e-05,0.9981019784226299,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,2.684563758389275e-05,0.998112045536724,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,3.6912751677852396e-05,0.9981221126508178,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,4.697986577181204e-05,0.9981321797649119,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,5.7046979865771905e-05,0.9981422468790058,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,6.711409395973155e-05,0.9981523139930998,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,7.718120805369141e-05,0.9981623811071937,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,8.724832214765106e-05,0.9981724482212877,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,9.73154362416107e-05,0.9981825153353816,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,0.00010738255033557057,0.9981925824494756,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,0.00011744966442953021,0.9982026495635695,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,0.00012751677852349008,0.9982127166776635,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,0.00013758389261744972,0.9982227837917574,1.0,0.9855072463768116,0.0,1.0,0.0,69,69,1.0,1.0
